,duration,route_id,collisions_layout,collisions_pedestrian,collisions_vehicle,outside_route_lanes,red_light,route_dev,route_timeout,stop_infraction,vehicle_blocked,score_route
64,2404.791457414627,RouteScenario_6,0,0,0,0,0,0,0,0,0,100.0
65,3144.8025369644165,RouteScenario_6,0,0,0,0,0,0,0,0,0,100.0
66,3059.367873430252,RouteScenario_6,0,0,5,0,1,0,0,0,0,100.0
67,2316.900739431381,RouteScenario_6,0,0,0,0,0,0,0,0,0,100.0
68,2454.088299512863,RouteScenario_6,0,0,2,0,0,0,0,0,0,100.0
69,2695.5425465106964,RouteScenario_6,0,0,0,0,0,0,0,0,0,100.0
70,4033.11456489563,RouteScenario_7,0,0,2,0,1,0,0,0,0,100.0
71,3326.7397100925446,RouteScenario_7,0,0,0,0,1,0,0,0,0,100.0
72,4178.704564571381,RouteScenario_7,0,0,0,0,1,0,1,0,0,88.35395779385924
73,2952.11128282547,RouteScenario_7,0,0,0,0,1,0,0,0,0,100.0
74,3561.744066953659,RouteScenario_7,0,0,0,0,1,0,0,0,1,81.76521498243541
75,2445.457609653473,RouteScenario_7,0,0,0,0,1,0,0,0,1,79.43454513268328
76,4028.131531238556,RouteScenario_7,0,0,0,0,1,0,1,0,0,93.70430264013703
77,3451.7754786014557,RouteScenario_7,0,0,0,0,1,0,0,0,0,100.0
78,3267.8509442806244,RouteScenario_7,0,0,0,0,1,0,0,0,0,100.0
79,3030.6499071121216,RouteScenario_7,0,0,2,0,0,0,0,0,0,100.0
80,2983.0954353809357,RouteScenario_8,0,0,1,0,0,0,0,0,1,56.769985000246336
81,2549.1276915073395,RouteScenario_8,0,0,3,0,0,0,0,0,0,100.0
82,3249.986646413803,RouteScenario_8,0,0,1,0,0,0,0,0,0,100.0
83,2487.959651708603,RouteScenario_8,0,0,2,0,0,0,0,0,0,100.0
84,2478.283890247345,RouteScenario_8,0,0,2,0,0,0,0,0,0,100.0
85,3616.90810918808,RouteScenario_8,0,0,1,0,0,0,0,0,0,100.0
86,2805.486100435257,RouteScenario_8,0,0,2,0,0,0,0,0,0,100.0
87,4115.754940748215,RouteScenario_8,0,0,3,0,0,0,1,0,0,93.47955623532883
88,2522.335791349411,RouteScenario_8,0,0,2,0,0,0,0,0,0,100.0
89,3430.0768744945526,RouteScenario_8,0,0,4,0,0,0,0,0,0,100.0
90,2395.31752038002,RouteScenario_9,0,0,1,0,0,0,0,0,0,100.0
91,2477.41396856308,RouteScenario_9,0,0,1,0,0,0,0,0,0,100.0
92,3086.906332015991,RouteScenario_9,0,0,3,0,1,0,0,0,0,100.0
93,2517.3356800079346,RouteScenario_9,0,0,1,0,0,0,0,0,0,100.0
94,2495.270560979843,RouteScenario_9,0,0,4,0,0,0,0,0,0,100.0
95,2229.5443568229675,RouteScenario_9,0,0,1,0,0,0,0,0,0,100.0
96,2423.1269381046295,RouteScenario_9,0,0,1,0,0,0,0,0,0,100.0
97,2456.2676684856415,RouteScenario_9,0,0,2,0,0,0,0,0,0,100.0
98,2819.4508559703827,RouteScenario_9,0,0,8,0,0,0,0,0,0,100.0
99,2273.4647068977356,RouteScenario_9,0,0,4,0,0,0,0,0,0,100.0
100,4336.423616409302,RouteScenario_10,1,0,2,0,1,0,1,0,0,72.21098588622954
101,3585.6134712696075,RouteScenario_10,1,0,1,0,0,0,0,0,1,80.33036612693805
102,2862.905799627304,RouteScenario_10,0,0,5,0,0,0,0,0,1,51.70217665305409
103,2627.5038776397705,RouteScenario_10,0,0,1,0,1,0,0,0,1,58.57174322864919
104,2469.334738254547,RouteScenario_10,0,0,2,0,0,0,0,0,1,51.58621887639708
105,4114.068717718124,RouteScenario_10,1,0,2,0,1,0,1,0,0,92.20286220443249
106,2951.011651992798,RouteScenario_10,0,0,4,0,0,0,0,0,1,57.683430859998055
107,2681.920876979828,RouteScenario_10,2,0,0,0,1,0,0,0,0,100.0
108,3053.8004174232483,RouteScenario_10,0,0,2,0,1,0,0,0,1,57.28862536281977
109,2770.837154865265,RouteScenario_10,0,0,2,0,1,0,0,0,1,58.37434048006005
110,2023.853639125824,RouteScenario_11,0,0,1,0,0,0,0,0,1,37.94395521262925
111,1966.742255449295,RouteScenario_11,0,0,0,0,0,0,0,0,1,37.63722879269012
112,2947.0909039974213,RouteScenario_11,0,0,1,0,0,0,0,0,0,100.0
113,1983.7322134971619,RouteScenario_11,0,0,0,0,0,0,0,0,1,37.63722879269012
114,2407.4451262950897,RouteScenario_11,1,0,2,1,0,0,0,0,1,38.91022773597268
115,1938.9718692302704,RouteScenario_11,0,0,0,0,0,0,0,0,1,37.63722879269012
116,2865.0604343414307,RouteScenario_11,0,0,1,0,0,0,0,0,0,100.0
117,1966.1435220241547,RouteScenario_11,0,0,0,0,0,0,0,0,1,37.63722879269012
118,3420.2579419612885,RouteScenario_11,0,0,2,0,0,0,0,0,0,100.0
119,2936.1617980003357,RouteScenario_11,0,0,0,0,0,0,0,0,0,100.0
120,6223.002916812897,RouteScenario_12,0,0,0,0,0,0,0,1,0,100.0
121,7235.538875579834,RouteScenario_12,0,0,2,1,0,0,0,1,0,100.0
122,3080.9399557113647,RouteScenario_12,0,1,0,0,0,0,0,0,1,23.557605884896788
123,5904.076617002487,RouteScenario_12,0,0,0,0,0,0,0,2,0,100.0
124,4903.098922252655,RouteScenario_12,0,0,0,0,0,0,0,1,1,62.22065316925825
125,6418.695284843445,RouteScenario_12,0,0,2,0,0,0,0,2,0,100.0
126,3590.930354118347,RouteScenario_12,0,0,1,0,0,0,0,0,1,23.646455689955218
127,3390.7177743911743,RouteScenario_12,0,0,0,0,0,0,0,0,1,23.73530605202646
128,6029.04944562912,RouteScenario_12,0,0,1,0,0,0,0,0,1,58.70374489436541
129,7288.7762799263,RouteScenario_12,0,0,0,0,0,0,0,2,0,100.0
130,2053.9864661693573,RouteScenario_13,1,0,1,0,0,0,0,1,1,26.634120443150994
131,4369.0707376003265,RouteScenario_13,0,0,0,0,1,0,0,4,0,100.0
132,5039.977666854858,RouteScenario_13,1,0,0,0,1,0,0,4,0,100.0
133,4967.791173696518,RouteScenario_13,1,0,0,0,1,0,0,3,0,100.0
134,4957.4799926280975,RouteScenario_13,1,0,6,0,0,0,0,4,0,100.0
135,5067.657461643219,RouteScenario_13,0,0,1,0,0,0,0,4,1,95.4226489698813
136,5849.61292219162,RouteScenario_13,1,0,0,0,1,0,0,3,0,100.0
137,4773.219078779221,RouteScenario_13,0,0,0,0,0,0,0,4,0,100.0
138,4507.425719976425,RouteScenario_13,1,0,2,0,1,0,0,4,0,100.0
139,4578.531955480576,RouteScenario_13,0,0,2,0,1,0,0,4,0,100.0
140,3774.6699216365814,RouteScenario_14,0,0,2,0,1,0,0,1,1,56.82281475754266
141,3391.131618976593,RouteScenario_14,0,0,0,0,1,0,0,1,1,55.04613082216449
142,3088.3942561149597,RouteScenario_14,0,0,1,0,1,0,0,1,1,56.625405325926714
143,3203.146146774292,RouteScenario_14,0,0,1,0,1,0,0,1,1,56.49379936241554
144,3621.1716101169586,RouteScenario_14,0,0,1,0,1,0,0,1,1,56.82281475754266
145,3946.791230916977,RouteScenario_14,0,0,1,0,1,0,0,1,1,56.09898047565062
146,3401.825626850128,RouteScenario_14,0,0,0,0,1,0,0,1,1,55.96737453567247
147,3868.9672660827637,RouteScenario_14,0,0,1,0,1,0,0,1,1,56.559602332404616
148,3543.606439590454,RouteScenario_14,0,0,0,0,1,0,0,1,1,54.322296540272454
149,5289.94282579422,RouteScenario_14,0,0,1,0,1,0,0,1,1,60.151859052244895
