,Road type,Road ID,Scenario Length,Vehicle_in_front,vehicle_in_adjcent_lane,vehicle_in_opposite_lane,vehicle_in_front_two_wheeled,vehicle_in_adjacent_two_wheeled,vehicle_in_opposite_two_wheeled,time of day,weather,Number of People,Target Speed,Trees in scenario,Buildings in Scenario,task,f1,f2,f3,f4,f5
99,2,0,0,0,0,1,1,1,0,1,4,1,3,1,1,0,0.4989565217391304,1.0,1.0,1.0,1.0
100,3,3,0,0,0,1,0,0,1,1,6,1,4,1,1,1,0.38547826086956516,1.0,1.0,1.0,1.0
101,1,2,0,0,0,0,0,0,0,1,5,1,4,1,1,0,0.7569565217391304,1.0,1.0,1.0,1.0
102,2,2,0,1,1,1,1,0,0,0,6,1,4,1,1,0,0.699391304347826,-0.0,1.0,1.0,1.0
103,1,2,0,1,0,0,0,1,1,2,5,0,4,1,1,0,0.7725217391304348,1.0,1.0,1.0,1.0
104,3,0,0,1,1,1,0,0,0,1,6,1,3,1,1,0,1.0,1.0,1.0,1.0,0.42151880354290694
105,2,0,0,0,1,0,1,1,1,1,6,1,4,1,1,0,0.5775652173913043,1.0,1.0,1.0,1.0
106,0,1,0,1,1,0,0,0,1,1,2,1,4,1,1,0,0.9953913043478261,1.0,1.0,1.0,1.0
107,1,2,0,0,1,0,1,1,0,0,2,1,4,1,1,0,0.77,1.0,1.0,1.0,1.0
108,2,1,0,0,0,1,1,1,1,0,2,1,3,1,1,0,0.5806956521739131,1.0,1.0,1.0,1.0
109,3,3,0,1,0,0,1,0,1,2,1,0,3,1,1,2,0.6375652173913043,1.0,1.0,1.0,1.0
110,2,2,0,1,1,1,1,1,1,1,4,1,3,1,1,0,0.734,0.01,1.0,1.0,1.0
111,3,3,0,0,1,1,0,0,0,2,2,1,2,1,1,1,0.58,1.0,1.0,1.0,1.0
112,3,1,0,0,1,0,0,1,1,0,4,0,4,1,1,1,0.4258260869565217,1.0,1.0,1.0,1.0
113,3,1,0,0,1,1,0,1,0,1,4,1,3,1,1,0,0.8819130434782608,1.0,1.0,1.0,1.0
114,1,0,0,0,0,1,1,1,1,2,1,0,3,1,1,0,0.6436521739130434,1.0,1.0,1.0,1.0
115,3,0,0,0,1,1,1,1,1,2,6,1,4,1,1,0,0.9967826086956522,1.0,1.0,1.0,1.0
116,2,1,0,1,1,1,0,0,0,2,6,1,3,1,1,0,0.5826956521739131,1.0,1.0,1.0,1.0
117,2,2,0,0,0,0,1,0,0,1,0,0,3,1,1,0,0.7245217391304347,1.0,1.0,1.0,1.0
118,3,1,0,0,1,1,0,0,1,0,6,0,3,1,1,0,0.884,1.0,1.0,1.0,1.0
119,0,2,0,0,0,0,0,0,1,1,3,1,4,1,1,0,0.9049565217391304,1.0,1.0,1.0,1.0
120,0,2,0,0,1,0,1,0,0,2,6,0,2,1,1,0,0.9659130434782609,1.0,1.0,1.0,1.0
121,3,1,0,1,1,1,1,1,1,2,0,1,3,1,1,1,0.43034782608695643,1.0,1.0,1.0,1.0
122,0,3,0,1,0,1,0,0,1,0,4,0,3,1,1,0,0.884,1.0,1.0,1.0,1.0
123,0,0,0,1,0,0,0,1,1,1,1,1,4,1,1,0,0.9977391304347826,1.0,1.0,1.0,1.0
